Date,State,City,Population,EnergySource,WaterConsumption,SGD %,AQI,AQI_Bucket,Waste Type,Disposal Method,Recycling Rate (%),Cost of Waste Management(?/Ton)
01-01-2014,Uttar Pradesh,Noida,682409,Mixed,157.81,13.69,336,Very Poor,Organic,Landfill,53.72,1714.49
01-01-2014,Uttar Pradesh,Ghaziabad,1666415,Mixed,131.03,13.5,45,Good,Organic,Recycling,29.81,1420.08
01-01-2014,Uttar Pradesh,Ghazipur,135421,Coal,196.98,17.18,98,Satisfactory,Plastic,Landfill,27.65,4655.29
01-01-2014,Uttar Pradesh,Lucknow,3157542,Coal,88.13,20.69,366,Very Poor,Plastic,Composting,20.75,3593.62
01-01-2014,Uttar Pradesh,Meerut,1392132,Coal,184.71,14.38,84,Satisfactory,E-Waste,Composting,43.27,4877.01
02-01-2014,Uttar Pradesh,Noida,746721,Mixed,238.74,7.82,176,Moderate,Mixed,Recycling,28.71,3561.8
02-01-2014,Uttar Pradesh,Ghaziabad,1652356,Wind,97.11,5.85,302,Very Poor,Mixed,Incineration,52.23,4386.01
02-01-2014,Uttar Pradesh,Ghazipur,96485,Mixed,139.82,12.6,271,Poor,Mixed,Composting,52.35,2391.31
02-01-2014,Uttar Pradesh,Lucknow,3168669,Mixed,248.87,12.1,176,Moderate,Plastic,Landfill,35.63,3502.53
02-01-2014,Uttar Pradesh,Meerut,1415498,Solar,206.66,17.11,385,Very Poor,Organic,Recycling,20.38,3535.11
03-01-2014,Uttar Pradesh,Noida,745552,Solar,142.14,21.18,309,Very Poor,Mixed,Landfill,26.86,2359.13
03-01-2014,Uttar Pradesh,Ghaziabad,1745590,Coal,174.31,11.04,203,Poor,Biomedical,Composting,54.17,3522.6
03-01-2014,Uttar Pradesh,Ghazipur,93413,Coal,115.22,13.02,162,Moderate,Plastic,Landfill,16.97,2258.97
03-01-2014,Uttar Pradesh,Lucknow,3244506,Hydro,244.74,10.75,106,Moderate,E-Waste,Composting,52.64,4796.54
03-01-2014,Uttar Pradesh,Meerut,1398141,Wind,99.86,10.78,170,Moderate,Biomedical,Composting,15.28,4693.37
04-01-2014,Uttar Pradesh,Noida,683390,Solar,183.91,20.82,166,Moderate,Organic,Incineration,57,4603.71
04-01-2014,Uttar Pradesh,Ghaziabad,1664218,Wind,101.24,6.63,419,Severe,E-Waste,Composting,52.11,1730.29
04-01-2014,Uttar Pradesh,Ghazipur,104848,Mixed,210.06,24.26,423,Severe,Plastic,Composting,38.92,4261.21
04-01-2014,Uttar Pradesh,Lucknow,3225932,Hydro,174,23.39,252,Poor,Biomedical,Composting,56.85,2991.1
04-01-2014,Uttar Pradesh,Meerut,1438141,Mixed,196.08,15.62,320,Very Poor,E-Waste,Landfill,48.06,4420.3
05-01-2014,Uttar Pradesh,Noida,659390,Solar,83.62,19.45,411,Severe,Organic,Recycling,54.38,4574.65
05-01-2014,Uttar Pradesh,Ghaziabad,1724047,Mixed,150.49,7.69,112,Moderate,Biomedical,Incineration,39.77,4046.05
05-01-2014,Uttar Pradesh,Ghazipur,70033,Hydro,155.66,22.18,132,Moderate,Biomedical,Recycling,51.26,3680.48
05-01-2014,Uttar Pradesh,Lucknow,3233535,Coal,112.86,14.61,282,Poor,Biomedical,Recycling,28.06,4986.9
05-01-2014,Uttar Pradesh,Meerut,1362267,Solar,201.04,22.67,361,Very Poor,Plastic,Landfill,20.23,3872.1
06-01-2014,Uttar Pradesh,Noida,701549,Hydro,217.87,12.01,312,Very Poor,Biomedical,Landfill,24.16,4520.79
06-01-2014,Uttar Pradesh,Ghaziabad,1737764,Hydro,204.59,12,89,Satisfactory,Organic,Composting,52.42,1843.85
06-01-2014,Uttar Pradesh,Ghazipur,157374,Wind,184.4,11.31,405,Severe,Plastic,Recycling,41.98,1945.97
06-01-2014,Uttar Pradesh,Lucknow,3180905,Wind,105.54,8.73,104,Moderate,Organic,Incineration,58.97,3890.02
06-01-2014,Uttar Pradesh,Meerut,1440994,Solar,160.24,18.47,152,Moderate,Biomedical,Recycling,45.14,4802.39
07-01-2014,Uttar Pradesh,Noida,676463,Wind,133.86,13.7,101,Moderate,Biomedical,Incineration,32.29,2804.18
07-01-2014,Uttar Pradesh,Ghaziabad,1701005,Solar,85.48,17.67,251,Poor,Biomedical,Composting,34.85,4372.13
07-01-2014,Uttar Pradesh,Ghazipur,109605,Mixed,96.38,18.64,67,Satisfactory,Plastic,Composting,57.14,1868.44
07-01-2014,Uttar Pradesh,Lucknow,3227204,Solar,202.4,14.18,194,Moderate,Organic,Composting,44.68,2258.11
07-01-2014,Uttar Pradesh,Meerut,1391625,Hydro,138.93,9.11,431,Severe,E-Waste,Incineration,17.49,2594.06
08-01-2014,Uttar Pradesh,Noida,689845,Solar,118.32,14.07,253,Poor,Biomedical,Incineration,35.44,2260.05
08-01-2014,Uttar Pradesh,Ghaziabad,1673063,Mixed,108.03,20.91,409,Severe,E-Waste,Composting,35.72,3912.29
08-01-2014,Uttar Pradesh,Ghazipur,165256,Hydro,114.93,12.78,254,Poor,E-Waste,Incineration,20.04,3265.49
08-01-2014,Uttar Pradesh,Lucknow,3161260,Wind,192.39,6.65,170,Moderate,Plastic,Incineration,26.92,1899.4
08-01-2014,Uttar Pradesh,Meerut,1353134,Solar,228.51,10.06,138,Moderate,Mixed,Composting,41.41,3223.18
09-01-2014,Uttar Pradesh,Noida,693748,Wind,150.44,6.72,280,Poor,Biomedical,Landfill,27.28,2983.86
09-01-2014,Uttar Pradesh,Ghaziabad,1668908,Coal,105.46,20,107,Moderate,Plastic,Composting,39.56,4821.58
09-01-2014,Uttar Pradesh,Ghazipur,138832,Hydro,249.14,7.69,382,Very Poor,Biomedical,Landfill,48.1,4177.62
09-01-2014,Uttar Pradesh,Lucknow,3167370,Coal,192.12,18.53,64,Satisfactory,Biomedical,Composting,58.76,3965.53
09-01-2014,Uttar Pradesh,Meerut,1364156,Hydro,186.43,8.33,361,Very Poor,Mixed,Landfill,35.56,3789.28
10-01-2014,Uttar Pradesh,Noida,689577,Hydro,168.98,21.13,449,Severe,E-Waste,Incineration,53.09,2291.43
10-01-2014,Uttar Pradesh,Ghaziabad,1655288,Hydro,156.46,7.99,357,Very Poor,E-Waste,Incineration,57.03,4395.66
10-01-2014,Uttar Pradesh,Ghazipur,159258,Mixed,153.84,14.41,344,Very Poor,Organic,Landfill,53.87,2627.56
10-01-2014,Uttar Pradesh,Lucknow,3180812,Coal,138.25,23.12,177,Moderate,Mixed,Composting,35.01,4796.92
10-01-2014,Uttar Pradesh,Meerut,1371810,Wind,184.26,16.85,132,Moderate,Biomedical,Recycling,27.46,1606.82
11-01-2014,Uttar Pradesh,Noida,667101,Mixed,230.66,7.16,188,Moderate,Mixed,Incineration,57.5,2117.82
11-01-2014,Uttar Pradesh,Ghaziabad,1703588,Solar,85,19.11,190,Moderate,Organic,Incineration,51.7,4123.17
11-01-2014,Uttar Pradesh,Ghazipur,118777,Wind,201.67,18.08,428,Severe,Mixed,Recycling,59.12,2905.34
11-01-2014,Uttar Pradesh,Lucknow,3201373,Hydro,180.44,6.78,178,Moderate,E-Waste,Incineration,56.28,4048.85
11-01-2014,Uttar Pradesh,Meerut,1393366,Wind,243.34,11.8,431,Severe,Biomedical,Composting,45.96,2851.41
12-01-2014,Uttar Pradesh,Noida,717334,Solar,221.03,12.08,404,Severe,Organic,Incineration,52.2,3960.19
12-01-2014,Uttar Pradesh,Ghaziabad,1697609,Coal,92.72,12.26,211,Poor,Biomedical,Recycling,29.01,1810.05
12-01-2014,Uttar Pradesh,Ghazipur,168992,Mixed,80.77,9.97,328,Very Poor,E-Waste,Composting,51.75,2807.5
12-01-2014,Uttar Pradesh,Lucknow,3233287,Coal,247.21,9.68,372,Very Poor,Organic,Incineration,46.25,3923.99
12-01-2014,Uttar Pradesh,Meerut,1371700,Wind,225.4,13.54,237,Poor,Biomedical,Recycling,37.25,4180.95
13-01-2014,Uttar Pradesh,Noida,711093,Mixed,159.18,23.57,421,Severe,Mixed,Incineration,41.92,1687.88
13-01-2014,Uttar Pradesh,Ghaziabad,1743719,Mixed,179.87,19.85,132,Moderate,Mixed,Incineration,58.67,3940.88
13-01-2014,Uttar Pradesh,Ghazipur,120427,Coal,154.24,22.24,198,Moderate,Biomedical,Recycling,30.16,3840.44
13-01-2014,Uttar Pradesh,Lucknow,3180571,Mixed,219.19,7.54,77,Satisfactory,Plastic,Recycling,26.18,1266.66
13-01-2014,Uttar Pradesh,Meerut,1369188,Solar,241.92,5.69,97,Satisfactory,Mixed,Landfill,28.19,2934.78
14-01-2014,Uttar Pradesh,Noida,652866,Mixed,193.06,6.76,333,Very Poor,Plastic,Landfill,15.1,2036.5
14-01-2014,Uttar Pradesh,Ghaziabad,1728535,Solar,229.38,17.63,333,Very Poor,Mixed,Landfill,41.68,4103.15
14-01-2014,Uttar Pradesh,Ghazipur,85913,Hydro,153.68,18.63,109,Moderate,Organic,Landfill,15.89,2588.99
14-01-2014,Uttar Pradesh,Lucknow,3240637,Coal,92.32,16.08,384,Very Poor,Biomedical,Composting,17.02,1784.53
14-01-2014,Uttar Pradesh,Meerut,1395033,Wind,183.15,15.43,138,Moderate,E-Waste,Composting,18.69,2589.41
15-01-2014,Uttar Pradesh,Noida,666168,Coal,176.8,14.71,154,Moderate,Organic,Incineration,25.78,4250.57
15-01-2014,Uttar Pradesh,Ghaziabad,1718227,Coal,214.31,12.64,331,Very Poor,Plastic,Landfill,34.25,2535.18
15-01-2014,Uttar Pradesh,Ghazipur,126757,Hydro,158.73,11.87,310,Very Poor,Mixed,Composting,41.7,2448.49
15-01-2014,Uttar Pradesh,Lucknow,3248520,Mixed,137.26,7.76,299,Poor,E-Waste,Incineration,15.51,4304.46
15-01-2014,Uttar Pradesh,Meerut,1444555,Solar,234.59,13.92,369,Very Poor,Organic,Recycling,28.04,3091.2
16-01-2014,Uttar Pradesh,Noida,715581,Coal,221.42,20.38,166,Moderate,Mixed,Incineration,57,4556.58
16-01-2014,Uttar Pradesh,Ghaziabad,1730039,Hydro,134.97,12.29,286,Poor,Plastic,Recycling,36.23,2966.32
16-01-2014,Uttar Pradesh,Ghazipur,122950,Wind,232.48,23.47,355,Very Poor,Organic,Landfill,31.28,2442.06
16-01-2014,Uttar Pradesh,Lucknow,3194534,Mixed,188.62,22.36,193,Moderate,Mixed,Recycling,45.93,4264.52
16-01-2014,Uttar Pradesh,Meerut,1389216,Coal,185.3,16.05,114,Moderate,Mixed,Composting,35.65,3316.65
17-01-2014,Uttar Pradesh,Noida,662824,Wind,90.5,15.83,76,Satisfactory,Biomedical,Incineration,29.47,3409.67
17-01-2014,Uttar Pradesh,Ghaziabad,1720638,Mixed,81.21,8.61,153,Moderate,Mixed,Recycling,55.91,1910.82
17-01-2014,Uttar Pradesh,Ghazipur,141808,Coal,216,5.21,124,Moderate,Plastic,Composting,32.97,4312.71
17-01-2014,Uttar Pradesh,Lucknow,3180986,Hydro,229.84,21.46,297,Poor,E-Waste,Incineration,22.86,3202.06
17-01-2014,Uttar Pradesh,Meerut,1370427,Wind,116.08,21.81,433,Severe,E-Waste,Composting,27.88,2545.1
18-01-2014,Uttar Pradesh,Noida,734342,Mixed,199.58,5.64,146,Moderate,E-Waste,Incineration,17.77,3218.43
18-01-2014,Uttar Pradesh,Ghaziabad,1712190,Wind,89.95,6.6,141,Moderate,E-Waste,Composting,44.19,4969.17
18-01-2014,Uttar Pradesh,Ghazipur,120230,Mixed,170.46,11.25,332,Very Poor,Organic,Landfill,57.37,2159.98
18-01-2014,Uttar Pradesh,Lucknow,3192068,Hydro,159.12,11.26,50,Good,Plastic,Recycling,26.93,1689.38
18-01-2014,Uttar Pradesh,Meerut,1377865,Coal,176.16,20.04,390,Very Poor,E-Waste,Incineration,48.35,1218.71
19-01-2014,Uttar Pradesh,Noida,747664,Coal,212.73,24.69,389,Very Poor,E-Waste,Incineration,54.52,3365.46
19-01-2014,Uttar Pradesh,Ghaziabad,1686824,Mixed,157.67,5.95,325,Very Poor,Organic,Landfill,39.11,1836.78
19-01-2014,Uttar Pradesh,Ghazipur,129282,Hydro,132.54,9.23,239,Poor,Plastic,Composting,36.62,1828.92
19-01-2014,Uttar Pradesh,Lucknow,3228943,Coal,144.83,20.73,113,Moderate,Organic,Landfill,15.31,1825.67
19-01-2014,Uttar Pradesh,Meerut,1415376,Hydro,124.77,13.17,259,Poor,Organic,Landfill,53.78,4864.31
20-01-2014,Uttar Pradesh,Noida,691832,Hydro,150.65,21.95,318,Very Poor,Plastic,Landfill,53.25,3275.64
20-01-2014,Uttar Pradesh,Ghaziabad,1713530,Hydro,224.03,14.64,380,Very Poor,Biomedical,Composting,24.49,2443.52
20-01-2014,Uttar Pradesh,Ghazipur,115946,Hydro,233.05,18.56,59,Satisfactory,Organic,Landfill,21.92,4205.54
20-01-2014,Uttar Pradesh,Lucknow,3166526,Solar,208.35,5.08,255,Poor,Organic,Landfill,39.86,2395.42
20-01-2014,Uttar Pradesh,Meerut,1388101,Hydro,144.37,6.4,437,Severe,Mixed,Composting,38.99,2828.45
21-01-2014,Uttar Pradesh,Noida,662073,Hydro,170.79,14.25,441,Severe,Organic,Landfill,51.59,3312.03
21-01-2014,Uttar Pradesh,Ghaziabad,1688844,Mixed,150.63,21.76,426,Severe,E-Waste,Composting,52.3,3460.15
21-01-2014,Uttar Pradesh,Ghazipur,77743,Coal,160.66,24.96,254,Poor,Biomedical,Composting,47.32,3075.55
21-01-2014,Uttar Pradesh,Lucknow,3245070,Wind,111.9,15.64,156,Moderate,Mixed,Composting,58.35,4072.97
21-01-2014,Uttar Pradesh,Meerut,1410542,Mixed,99.05,20.63,278,Poor,Biomedical,Incineration,24.2,2810.85
